User,Age,Gender,Class,Coding Experience,Technology Affinity ,Technology Affinity (median),researchGroup,INT_sessions,Participation Intensity,Pre Fluency,Pre Originality,Pre Flexibility,Pre Elaboration,Post Fluency,Post Originality,Post Flexibility,Post Elaboration,Pre Solution Attempts ,Pre Completion Time ,Pre Solution Originality,Post Solution Attempts ,Post Completion Time ,Post Solution Originality
dzlop2,14,2,3b,0,10,2,1,4,16,1.113943352,-0.03174597,10,2.692307692,1.255272505,-0.010806553,17,2.277777778,4.5,2.245833333,0.42875251,1.5,1.753333329,0.610065869
e7jn58,14,2,5a,0,6,2,0,0,0,1.041392685,-0.017726266,8,2.909090909,1.230448921,-0.012937646,16,1.882352941,5.25,1.627083334,0.48548853,4.888888889,2.173333332,0.664010383
dzlonl,14,2,3b,0,10,2,1,1,4,1.204119983,-0.029749053,11,2.75,1.230448921,-0.011668636,14,1.941176471,2.625,2.2875,0.523258742,3.2,2.065000001,0.718403338
e4qkzj,15,2,5a,0,4,1,0,0,0,1.079181246,-0.021662813,1,3,1.176091259,-0.008470309,14,1.933333333,6.25,1.806250002,0.556237155,7.142857143,1.826666665,0.579581461
e1n65v,14,1,1b,1,8,2,1,6,24,1.113943352,-0.022624982,11,1.666666667,1.176091259,-0.007796366,15,1.466666667,4.25,3.118750002,0.378637867,1.3,0.709999999,0.607622635
e7jnk1,14,2,1a,0,5,1,1,10,40,0.954242509,-0.023931078,7,2.888888889,1.176091259,-0.013542981,12,1.933333333,6.625,1.695833333,0.519408655,4.9,1.468333333,0.61985976
ejvx08,14,1,1a,0,9,2,1,10,40,0.84509804,-0.013866398,6,2.857142857,1.079181246,-0.014773801,11,3,1.5,0.493749999,0.473175998,2.1,0.971666667,0.55661305
em20o8,14,1,7a,0,8,2,0,0,0,1,-0.014184679,8,1.7,1.079181246,-0.009440937,10,1.166666667,4,2.556249998,0.376908618,1.4,0.701666666,0.692314313
evvk4v,14,2,9a,0,5,1,1,10,40,1.079181246,-0.015232105,10,4.083333333,1.079181246,-0.011655011,12,3.333333333,3.5,4.25625,0.446868452,3,2.389999999,0.789676171
evvkyl,15,1,8a,0,8,2,1,6,24,1.079181246,-0.015384116,11,3.75,1.079181246,-0.008443484,12,1.75,5,1.6125,0.60227422,1.1,0.799999997,0.643504609
g3rj68,14,1,9a,0,7,2,0,0,0,1.041392685,-0.016373484,10,3.181818182,1.079181246,-0.013124444,10,1.75,5.875,1.954166669,0.536574812,3,1.470000001,0.631151006
eyqnxj,14,2,1b,0,5,1,1,7,28,1.041392685,-0.016560541,10,3.454545455,1.079181246,-0.011693616,11,3.583333333,6,1.595833334,0.524444646,2.9,1.608333335,0.56036298
dzlo4w,14,2,4a,0,6,2,1,5,20,1.079181246,-0.017174238,10,2.416666667,1.079181246,-0.01171292,11,2.583333333,4.125,2.604166668,0.514648021,2.625,1.333333332,0.432227029
